parent,child
Economics,Economic geography
Economics,Economic growth
Economics,Mathematical economics
Economics,Financial system
Economics,Demographic economics
Economics,Public economics
Geography,Cartography
Geography,Physical geography
Geography,Archaeology
Geography,Environmental planning
Geography,Economic geography
Geography,Environmental protection
Geography,Regional science
Geography,Remote sensing
Geography,Geodesy
Geography,Meteorology
Geography,Forestry
Sociology,Pedagogy
Sociology,Socioeconomics
Sociology,Ethnology
Sociology,Regional science
Sociology,Law and economics
Sociology,Communication
Sociology,Criminology
Sociology,Gender studies
Sociology,Media studies
Sociology,Political economy
Sociology,Anthropology
Sociology,Social science
Sociology,Demography
Philosophy,Aesthetics
Philosophy,Theology
Philosophy,Environmental ethics
Philosophy,Epistemology
Philosophy,Religious studies
Philosophy,Linguistics
Philosophy,Humanities
Psychology,Psychiatry
Psychology,Neuroscience
Psychology,Psychoanalysis
Psychology,Psychotherapist
Psychology,Cognitive psychology
Psychology,Cognitive science
Psychology,Pedagogy
Psychology,Clinical psychology
Psychology,Criminology
Psychology,Applied psychology
Psychology,Communication
Psychology,Developmental psychology
Psychology,Social psychology
Psychology,Mathematics education
Engineering,Industrial engineering
Engineering,Simulation
Engineering,Biomedical engineering
Engineering,Geotechnical engineering
Engineering,Mechanical engineering
Engineering,Operations management
Engineering,Structural engineering
Engineering,Software engineering
Engineering,Process engineering
Engineering,Waste management
Engineering,Control theory
Engineering,Engineering management
Engineering,Pulp and paper industry
Engineering,Process management
Engineering,Electronic engineering
Engineering,Chemical engineering
Engineering,Agricultural engineering
Engineering,Computer engineering
Engineering,Control engineering
Engineering,Engineering physics
Engineering,Engineering drawing
Engineering,Reliability engineering
Engineering,Marine engineering
Engineering,Manufacturing engineering
Engineering,Management science
Engineering,Construction engineering
Engineering,Mining engineering
Engineering,Transport engineering
Engineering,Telecommunications
Engineering,Systems engineering
Engineering,Aeronautics
Engineering,Engineering ethics
Engineering,Architectural engineering
Engineering,Nuclear engineering
Engineering,Automotive engineering
Engineering,Civil engineering
Engineering,Operations research
Engineering,Biochemical engineering
Engineering,Petroleum engineering
Engineering,Environmental engineering
Engineering,Aerospace engineering
Engineering,Forensic engineering
Engineering,Embedded system
Engineering,Electrical engineering
Mathematics,Mathematical economics
Mathematics,Calculus
Mathematics,Applied mathematics
Mathematics,Discrete mathematics
Mathematics,Econometrics
Mathematics,Topology
Mathematics,Combinatorics
Mathematics,Computational science
Mathematics,Algorithm
Mathematics,Mathematical analysis
Mathematics,Mathematical optimization
Mathematics,Control theory
Mathematics,Mathematics education
Mathematics,Statistics
Mathematics,Algebra
Mathematics,Arithmetic
Mathematics,Mathematical physics
Mathematics,Operations research
Mathematics,Geometry
Mathematics,Pure mathematics
Computer science,Computer vision
Computer science,Multimedia
Computer science,Human–computer interaction
Computer science,Information retrieval
Computer science,Algorithm
Computer science,Data mining
Computer science,Computer graphics (images)
Computer science,Distributed computing
Computer science,Computer network
Computer science,Data science
Computer science,Artificial intelligence
Computer science,Computational science
Computer science,World Wide Web
Computer science,Library science
Computer science,Real-time computing
Computer science,Software engineering
Computer science,Natural language processing
Computer science,Pattern recognition
Computer science,Programming language
Computer science,Knowledge management
Computer science,Computer security
Computer science,Computer hardware
Computer science,Embedded system
Computer science,Parallel computing
Computer science,Telecommunications
Computer science,Operating system
Computer science,Computer architecture
Computer science,Database
Computer science,Speech recognition
Computer science,Theoretical computer science
Computer science,Machine learning
Computer science,Internet privacy
Computer science,Computer engineering
Computer science,Simulation
Materials science,Composite material
Materials science,Ceramic materials
Materials science,Polymer chemistry
Materials science,Optoelectronics
Materials science,Nanotechnology
Materials science,Polymer science
Materials science,Metallurgy
Political science,Public administration
Political science,Public relations
Political science,Law
Environmental science,Soil science
Environmental science,Water resource management
Environmental science,Environmental planning
Environmental science,Agroforestry
Environmental science,Environmental resource management
Environmental science,Environmental protection
Environmental science,Agricultural science
Environmental science,Environmental engineering
